#CRTS ID,RA (J2000),Dec (J2000),UT Date,Mag,CSS images,SDSS,Others,Followed,Last,LC,FC,Classification
CSS110428:154545+442830,236.43705,44.47502,20110428.41,15.08,1104281430634140646,yes,14064,no,2016-07-14,14064,yes,"CV SDSS mag 20,9"
CSS120323:154547-072855,236.44471,-7.48181,20120323.49,17.35,1203230070844128605,no,12860,no,2016-09-03,12860,yes,HPM
CSS130610:154627+302111,236.61184,30.3531,20130610.37,18.82,1306101290754141977,yes,14197,no,2016-07-15,14197,yes,SN SDSS mag >22
CSS100516:154634+271419,236.64068,27.23867,20100516.41,19.75,1005161260774132329,yes,13232,yes,2016-07-15,13232,yes,"SN SDSS mag 21,3 gal"
CSS160603:154653+375415,236.71982,37.90417,20160603.41,18.3,1606031380684117420,yes,11742,no,2016-07-14,11742,yes,"CV SDSS_J154652 mag 20,5"
CSS160414:154655-121454,236.73014,-12.24847,20160414.44,17.29,1604140120834153479,no,15347,no,2016-05-28,15347,yes,"CV mag 19,5"
CSS130513:154732+230126,236.88447,23.02386,20130513.36,18.75,1305131230784108936,yes,10893,no,2016-07-15,10893,yes,"SN (PTF13aro) SDSS mag 17,0"
CSS150619:154743+312220,236.93117,31.37236,20150619.33,19.48,1506191320734104934,yes,10493,no,2016-07-15,10493,yes,"SN SDSS mag 20,6"
CSS130610:154851+351809,237.21077,35.30262,20130610.33,18.87,1306101350704128207,yes,12820,no,2016-07-15,12820,yes,"AGN SDSS mag 21,5"
CSS110613:154852+625749,237.21562,62.96358,20110613.35,17.6,1106131630404111710,yes,11171,no,2016-07-09,11171,yes,"SN 2011ex SDSS mag 19,8"
CSS130419:154921+215432,237.33921,21.90897,20130419.45,19.5,1304191210804140558,yes,14055,no,2016-07-10,14055,yes,"AGN SDSS mag 20,8"
