Dec (J2000),SDSS,count,mag_info,mag_max,mag_mean,mag_median,mag_min,mag_std,magerr_max,magerr_mean,magerr_std,mjd_std,baseline,mag_baseline
6.92125,0,228,18.37,20.9659,19.525014912280703,19.5111,18.1808,0.4450746755602941,0.514056660352058,0.2420434519717053,0.0633205585594183,890.9299707856383,2946.860222812298,2.7851
37.94255,0,271,13.09,16.8469,14.97861328413284,15.798,12.5129,1.4015519992892762,0.0780862432637183,0.0613943360448027,0.007714686547779,936.8798605490716,2950.011339780001,4.334000000000001
33.20674,1,36,18.46,21.4215,19.052830555555555,18.6433,17.8809,1.0644752651811789,0.6172759066925301,0.2252190770456678,0.1450243480856693,1003.8353194038926,2921.0220157061995,3.5406000000000013
-1.36949,1,5,17.86,20.9478,20.13744,20.2811,19.3508,0.598620951019926,0.505701690727496,0.3209889689197502,0.1136006077393894,426.3930723038664,1048.0640001273932,1.5970000000000013
13.8701,1,266,19.06,21.4283,19.546212781954885,19.45195,15.8959,0.6043375034073957,0.493932906686598,0.2280296947748303,0.0774084476773888,698.3179585208877,3096.288805636599,5.532400000000001
49.26167,0,251,13.92,18.1307,17.276725498007966,17.4091,13.8784,0.670826486825952,0.241059835440557,0.0940457029636817,0.0170544983393242,880.8264009031163,2904.185266041706,4.252300000000002
39.82282,1,4,19.72,21.3707,21.031,21.13575,20.4818,0.3995032331950939,0.570553511498524,0.4930891038338525,0.1055537789715582,685.5933217992616,1450.1550871180953,0.8888999999999996
18.26448,1,285,19.5,21.2354,19.723988771929825,19.6794,18.4897,0.5327484391159971,0.556676355843265,0.2524518126627753,0.0842643010276935,770.274099397924,2994.9299794561084,2.7457
15.95384,1,341,17.5,21.1896,18.27775483870968,18.0999,16.9907,0.864082377650545,0.5301772973384461,0.1483522831572821,0.0704440978098396,897.0064290656038,3106.679389536701,4.198899999999998
37.5681,0,271,17.51,19.0818,17.088633948339485,17.6384,15.1387,1.1807178638558935,0.164664150907511,0.0934519090002894,0.0276226763209906,968.2612992317156,2949.928343507003,3.943100000000001
2.65143,1,14,19.46,21.3683,19.598485714285715,19.3938,18.6962,0.7413571410254642,0.594731714971259,0.2436847890252684,0.1345207713460439,356.150642456586,1215.8011014238,2.6721000000000004
52.82354,1,21,18.04,21.4944,19.546857142857142,19.1477,18.1173,0.9830932801984936,0.6970483994960059,0.3202832090910411,0.1533882874259304,717.579824371401,2627.9006514465946,3.3770999999999987
44.47502,1,62,15.08,21.4089,19.740006451612903,20.4077,15.0839,1.840412850945381,0.626867402359437,0.3279656426481272,0.1456509797344796,940.5793284644697,3028.8370533799025,6.324999999999999
-12.80411,0,33,18.74,21.2701,19.74950606060606,19.7643,18.2742,0.9232370642674176,0.56602509164384,0.2769993935845501,0.1268113930898013,728.9824093478093,2549.0727987498103,2.995899999999999
16.32931,1,25,17.58,20.1292,18.37264,18.1762,17.4208,0.8315605429953188,0.535257801890461,0.1498749374576012,0.0924836672748269,719.2281520510911,1771.1515787382014,2.708400000000001
9.23482,1,95,18.19,21.2316,19.73406842105263,19.9526,17.6623,0.8343571930461842,0.5561056669849089,0.2569989395105502,0.0971512543217966,629.2497321708836,2808.2146135648,3.569300000000002
34.27667,1,323,18.35,19.8953,18.678640557275543,18.6488,17.8857,0.3105137232977178,0.314439996984143,0.151797385193426,0.0281633543980831,861.1945523291753,3033.814320636404,2.009599999999999
-16.99221,0,106,14.52,20.0804,18.54534622641509,18.8837,14.5071,1.22058508641393,0.274834440886353,0.1592131917764858,0.0480933968279502,855.5093649743387,2637.747849802996,5.5733000000000015
2.29792,1,54,18.75,21.2488,19.51220925925926,19.42755,18.5057,0.657733232115901,0.566025100605129,0.2303432969853767,0.0980890549372646,328.51111875638395,2134.181165428396,2.7430999999999983
26.77188,1,412,16.88,20.8133,19.376875,19.34535,18.0023,0.3131397640137218,0.479209021875096,0.2066619196763632,0.04278596065983,911.56483071565,3109.360039479405,2.811
-9.11236,1,22,18.43,20.2308,18.98205,18.9583,18.0831,0.6348021977262639,0.325931694506293,0.1835007230245271,0.0607249343139233,12.525996730131078,41.85628336800437,2.147699999999997
-15.56729,0,97,13.79,13.9619,13.804875257731958,13.7902,13.7456,0.0513130811597779,0.0661176632185303,0.054038381142441,0.0025014068548389,372.709934648538,1182.854393576701,0.2163000000000003
31.7529,0,301,16.0,19.8614,18.59224352159469,18.7441,15.0429,0.7603838187386397,0.572084523202219,0.1531095860039215,0.0467381942860905,957.7699658583128,3055.893312002001,4.8185
14.19728,1,286,16.86,20.72,18.63771818181818,18.7427,16.4948,0.634326872030928,0.6169002840940679,0.1569739452439112,0.0649727229529409,859.9907941659377,3127.285527048596,4.225199999999997
31.46732,0,108,17.08,19.8166,18.385249074074075,18.43575,16.3515,0.7379639536691628,0.361872750195271,0.1735416014625477,0.0464539688572154,1112.07318977648,2886.1456215627986,3.4651
38.53894,1,14,18.72,21.1791,19.898942857142856,20.25945,18.4222,0.9177110444463984,0.5360311424649461,0.3062833368431321,0.1217420556115754,559.0691772993217,1886.0053753936156,2.756899999999998
30.36888,1,24,19.32,20.4361,19.25168333333333,19.3391,18.1889,0.5426532271419158,0.34287318304398,0.196437535469408,0.053507054094293,14.026741903766393,39.87862987250264,2.2471999999999994
